imdb_id,Movie,Release Year,Rating,# of Ratings,Genre,Awards,Oscar Ws,Oscar Ns,Other Ws,Other Ns,Director,Cast,Description
tt2617456,Superman: Unbound ,2013,6.6,"5,157","Animation, Action, Adventure",1 nomination.,0,0,0,1,James Tucker,"Matt Bomer, Stana Katic, John Noble, Molly C. Quinn","Superman and Supergirl take on the cybernetic Brainiac, who boasts that he possesses \the knowledge and strength of 10"
tt1924396,The Best Offer ,2013,7.9,"43,934","Crime, Drama, Mystery",18 wins & 20 nominations.,0,0,18,20,Giuseppe Tornatore,"Geoffrey Rush, Jim Sturgess, Sylvia Hoeks, Donald Sutherland",A master auctioneer becomes obsessed with an extremely reclusive heiress who collects fine art.
tt2132285,The Bling Ring ,2013,5.6,"52,697","Biography, Crime, Drama",3 wins & 4 nominations.,0,0,3,4,Sofia Coppola,"Katie Chang, Israel Broussard, Emma Watson, Claire Julien","Inspired by actual events, a group of fame-obsessed teenagers use the internet to track celebrities' whereabouts in order to rob their homes."
tt1327773,Lee Daniels' The Butler ,2013,7.1,"64,192","Biography, Drama",Nominated for 2 BAFTA Film Awards. Another 13 wins & 45 nominations.,0,0,13,45,Lee Daniels,"Forest Whitaker, David Banner, Michael Rainey Jr., LaJessie Smith","As Cecil Gaines serves eight presidents during his tenure as a butler at the White House, the civil rights movement, Vietnam, and other major events affect this man's life, family, and American society."
tt2193215,The Counselor ,2013,5.4,"62,614","Crime, Drama, Thriller",4 wins & 3 nominations.,0,0,4,3,Ridley Scott,"Michael Fassbender, Pen̩lope Cruz, Cameron Diaz, Javier Bardem",A lawyer finds himself in over his head when he gets involved in drug trafficking.
tt1869716,The East ,2013,6.9,"33,436","Drama, Thriller",4 nominations.,0,0,0,4,Zal Batmanglij,"Brit Marling, Alexander Skarsg̴rd, Ellen Page, Toby Kebbell",An operative for an elite private intelligence firm finds her priorities changing dramatically after she is tasked with infiltrating an anarchist group known for executing covert attacks upon major corporations.
tt1837703,The Fifth Estate ,2013,6.1,"19,716","Biography, Drama, Thriller",2 wins & 2 nominations.,0,0,2,2,Bill Condon,"Peter Capaldi, David Thewlis, Anatole Taubman, Alexander Beyer",A dramatic thriller based on real events that reveals the quest to expose the deceptions and corruptions of power that turned an Internet upstart into the 21st century's most fiercely debated organization.
tt1951261,The Hangover Part III ,2013,5.9,"155,246",Comedy,2 wins & 6 nominations.,0,0,2,6,Todd Phillips,"Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha","When one of their own is kidnapped by an angry gangster, the Wolf Pack must track down Mr. Chow, who has escaped from prison and is on the lam."
tt2404463,The Heat ,2013,6.7,"104,125","Action, Comedy, Crime",6 wins & 14 nominations.,0,0,6,14,Paul Feig,"Sandra Bullock, Melissa McCarthy, Demian Bichir, Marlon Wayans",An uptight FBI Special Agent is paired with a foul-mouthed Boston cop to take down a ruthless drug lord.
tt1170358,The Hobbit: The Desolation of Smaug ,2013,8,"331,730","Adventure, Fantasy",Nominated for 3 Oscars. Another 12 wins & 64 nominations.,0,3,12,64,Peter Jackson,"Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott","The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring."
tt1951264,The Hunger Games: Catching Fire ,2013,7.7,"349,262","Adventure, Sci-Fi",Nominated for 1 Golden Globe. Another 24 wins & 51 nominations.,0,0,24,51,Francis Lawrence,"Jennifer Lawrence, Liam Hemsworth, Jack Quaid, Taylor St. Clair",Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.
